category_large,category_medium,category_small,recommendation_fit,physical_activity,mental_activity,gender_work,price,obstacle,collective,time_consuming,weather_affected,health,growth,creativity,period,generation,season,feeling,classification
여가,감상,평소에 안듣는 음악 감상,1,0,1,0,0,2,1,2,0,0,0,1,3,0,0,1,0
여가,감상,음악 감상,0,0,1,0,0,1,1,2,0,0,0,1,4,0,0,1,0
여가,감상,뮤지컬 보기,1,2,1,0,2,3,0,3,1,0,0,1,0,4,0,1,0
여가,감상,오페라 보기,1,2,1,0,3,3,0,3,1,0,0,1,0,4,0,1,0
여가,감상,연극 보기,1,2,1,0,2,3,0,3,1,0,0,1,0,4,0,1,0
여가,감상,미술 작품 감상,0,0,2,0,2,2,0,3,1,0,0,1,0,4,0,1,0
여가,감상,집에서 영화 시청,1,0,2,0,2,1,1,3,0,0,0,1,1,0,0,0,0
여가,감상,드라마 시청,1,0,2,0,0,1,0,3,0,0,0,1,2,0,0,0,0
여가,감상,소설 읽기,1,0,2,0,0,1,1,3,0,0,2,1,2,0,0,0,0
여가,감상,시 읽기,1,0,2,0,0,1,1,2,0,0,2,1,2,0,0,0,0
여가,감상,사진 감상,1,0,1,0,0,1,1,2,0,0,0,1,2,0,0,0,0
여가,감상,유튜브 시청,1,0,1,0,0,1,1,2,0,0,0,1,3,0,0,1,0
여가,감상,OTT 시청,1,0,1,0,2,1,1,3,0,0,0,1,2,0,0,1,0
여가,감상,인터넷 서핑,0,0,1,0,0,1,1,2,0,0,0,1,3,0,0,0,0
여가,감상,TV 시청,1,0,1,0,0,1,0,3,0,0,0,1,3,0,0,0,0
여가,기타,쇼핑하기,0,2,0,0,3,1,0,3,1,0,0,0,1,0,0,0,0
여가,기타,새로운 식물 키워보기,1,1,1,0,2,2,1,2,0,0,0,1,0,0,0,1,0
여가,기타,피아노 연주,0,1,2,0,0,3,1,2,0,0,0,2,2,0,0,0,4
여가,기타,기타 연주,0,1,2,0,0,3,1,2,0,0,0,2,2,0,0,0,4
여가,기타,밴드 활동 하기,0,1,2,0,0,3,2,3,1,0,0,2,2,0,0,0,4
여가,기타,새로운 악기 배워 보기,1,2,3,0,3,4,1,2,0,0,2,2,0,0,0,1,0
여가,기타,드럼 치기,0,2,2,0,0,3,1,2,0,0,0,2,2,0,0,4,4
여가,기타,악기 연습하기,0,2,2,0,0,3,1,2,0,0,2,2,2,0,0,4,4
여가,기타,독서,1,0,3,0,0,1,1,2,0,0,2,1,2,0,0,1,0
여가,기타,아이돌 안무 카피하기,1,4,1,0,0,2,0,2,0,2,0,1,2,4,0,4,0
